analyst,Beta,Timestamp,,,,
Analyst1,514697,28:09.0,,,,
Analyst1,490723,28:12.4,,,,
Analyst1,451328,28:15.4,,,A1 P1,474139.375
Analyst1,504855,28:18.4,,,,
Analyst1,449702,28:21.4,,,,
Analyst1,553821,28:24.4,,,,441890.075
Analyst1,427714,28:27.5,,,,
Analyst1,560319,28:30.5,,,,
Analyst1,486589,28:33.5,,,,
Analyst1,301166,28:36.5,,,,
Analyst1,385849,28:39.5,,,,
Analyst1,439768,28:42.5,,,,
Analyst1,512678,28:45.6,,,,
Analyst1,484234,28:48.6,,,,
Analyst1,526603,28:51.6,,,,
Analyst1,402619,28:54.6,,,,
Analyst1,480986,28:57.6,,,,
Analyst1,388314,29:00.6,,,,
Analyst1,382942,29:03.7,,,,
Analyst1,489903,29:06.7,,,,
Analyst1,372350,29:09.7,,,,
Analyst1,447739,29:12.7,,,,
Analyst1,521653,29:15.7,,,,
Analyst1,485933,29:18.7,,,,
Analyst1,374205,29:21.8,,,,
Analyst1,481371,29:24.8,,,,
Analyst1,590862,29:27.8,,,,
Analyst1,489814,29:30.8,,,,
Analyst1,563925,29:33.8,,,,
Analyst1,496785,29:36.9,,,,
Analyst1,595940,29:39.9,,,,
Analyst1,508809,29:42.9,,,,
Analyst1,494386,29:48.1,,,,
Analyst1,403141,29:51.1,,,,
Analyst1,479215,29:54.1,,,,
Analyst1,599736,29:57.1,,,,
Analyst1,500787,30:00.1,,,,
Analyst1,315109,30:03.2,,,,
Analyst1,508729,30:06.2,,,,
Analyst1,500276,30:09.2,,,,
Analyst1,848540,30:12.2,,,,
Analyst1,998381,30:15.2,,,,
Analyst1,915850,30:18.2,,,,
Analyst1,883236,30:21.3,,,,
Analyst1,945219,30:24.3,,,,
Analyst1,852093,30:27.3,,,,
Analyst1,880171,30:30.3,,,,
Analyst1,853831,30:33.4,,,,
Analyst1,973956,30:36.4,,,,
Analyst1,879761,30:39.5,,,,
Analyst1,837063,30:42.5,,,,
Analyst1,899352,30:45.5,,,,
Analyst1,871094,30:48.5,,,,
Analyst1,920615,30:51.5,,,,
Analyst1,997769,30:54.5,,,,
Analyst1,943386,30:57.6,,,,
Analyst1,933017,31:00.6,,,,
Analyst1,982715,31:03.6,,,,
Analyst1,916919,31:06.6,,,,
Analyst1,845178,31:09.6,,,,
Analyst1,938750,31:12.6,,,,
Analyst1,855636,31:15.7,,,,
Analyst1,801811,31:18.7,,,,
Analyst1,969455,31:21.7,,,,
Analyst1,994736,31:24.7,,,,
Analyst1,854705,31:27.8,,,,
Analyst1,950649,31:30.8,,,,
Analyst1,857984,31:33.8,,,,
Analyst1,902769,31:36.8,,,,
Analyst1,805780,31:39.8,,,,
Analyst1,834512,31:42.8,,,,
Analyst1,880590,31:45.9,,,,
Analyst1,955801,31:48.9,,,,
Analyst1,872411,31:51.9,,,,
Analyst1,962644,31:54.9,,,,
Analyst1,921819,31:57.9,,,,
Analyst1,978395,32:00.9,,,,
Analyst1,917792,32:04.0,,,,
Analyst1,897122,32:07.0,,,,
Analyst1,868879,32:10.0,,,,
Analyst1,906575,32:13.0,,,,
Analyst1,888700,32:16.0,,,,
Analyst1,941349,32:19.0,,,,
Analyst1,826048,32:22.1,,,,
Analyst1,983975,32:25.1,,,,
Analyst1,992016,32:28.1,,,,
Analyst1,977656,32:31.1,,,,
Analyst1,861924,32:34.1,,,,
Analyst1,944031,32:37.1,,,,
Analyst1,859363,32:40.1,,,,
Analyst1,870124,32:43.1,,,,
Analyst1,802799,32:46.2,,,,
Analyst1,952587,32:49.2,,,,
Analyst1,897855,32:52.2,,,,
Analyst1,820472,32:55.2,,,,
Analyst1,954108,32:58.2,,,,
Analyst1,963295,33:01.2,,,,
Analyst1,924872,33:04.2,,,,
Analyst1,913508,33:07.3,,,,
Analyst1,900707,33:10.3,,,,
Analyst1,988413,33:13.3,,,,
Analyst1,954692,33:16.3,,,,
Analyst1,938497,33:19.3,,,,
Analyst1,802641,33:22.4,,,,
Analyst1,938824,33:25.4,,,,
Analyst1,956685,33:28.4,,,,
Analyst1,847848,33:31.4,,,,
Analyst1,988238,33:34.4,,,,
Analyst1,832517,33:37.4,,,,
Analyst1,863549,33:40.5,,,,
Analyst1,916493,33:43.5,,,,
Analyst1,976337,33:46.5,,,,
Analyst1,825011,33:49.5,,,,
Analyst1,951917,33:52.5,,,,
Analyst1,850724,33:55.5,,,,
Analyst1,977656,33:58.6,,,,
Analyst1,994859,34:01.6,,,,
Analyst1,991925,34:04.6,,,,
Analyst1,883637,34:07.6,,,,
Analyst1,995372,34:10.6,,,,
Analyst1,916308,34:13.6,,,,
Analyst1,910514,34:16.7,,,,
Analyst1,867634,34:19.7,,,,
Analyst1,830893,34:22.7,,,,
Analyst1,843153,34:25.7,,,,
Analyst1,883831,34:28.7,,,,
Analyst1,854172,34:31.7,,,,
Analyst1,919252,34:34.7,,,,
Analyst1,919790,34:41.4,,,,
Analyst1,970158,34:44.4,,,,
Analyst1,812895,34:47.4,,,,
Analyst1,944863,34:50.4,,,,
Analyst1,857659,34:53.5,,,,
Analyst1,985311,34:56.5,,,,
Analyst1,988133,34:59.5,,,,
Analyst1,810986,35:02.5,,,,
Analyst1,877656,35:05.5,,,,
Analyst1,964981,35:08.5,,,,
Analyst1,847024,35:11.5,,,,
Analyst1,810327,35:14.5,,,,
Analyst1,835714,35:17.6,,,,
Analyst1,912170,35:20.6,,,,
Analyst1,458111,37:32.8,,,432801.425,
Analyst1,314893,37:35.8,,,,
Analyst1,543304,37:38.9,,,464520.9756,
Analyst1,483828,37:41.9,,,,
Analyst1,352230,37:44.9,,,,
Analyst1,338040,37:47.9,,,,
Analyst1,472005,37:50.9,,,,
Analyst1,436023,37:53.9,,,,
Analyst1,579227,37:57.0,,,,
Analyst1,487109,38:00.0,,,,
Analyst1,404667,38:03.0,,,,
Analyst1,353487,38:06.0,,,,
Analyst1,316296,38:09.0,,,,
Analyst1,455000,38:12.0,,,,
Analyst1,534638,38:15.1,,,,
Analyst1,391739,38:18.1,,,,
Analyst1,405290,38:21.1,,,,
Analyst1,358973,38:24.1,,,,
