analyst,Beta,newtime,,,,,
Analyst2,459056,05:16.4,,491538,,,
Analyst2,539107,05:19.5,,,,,
Analyst2,422135,05:22.5,,,,,
Analyst2,455484,05:25.5,,,,,
Analyst2,400717,05:28.5,,,,,
Analyst2,453399,05:32.0,,,,,
Analyst2,586106,05:34.6,,,,,
Analyst2,456645,05:37.6,,,,,
Analyst2,554599,05:40.6,,,,,
Analyst2,535295,05:43.6,,,,,
Analyst2,587558,05:46.6,,,,,
Analyst2,414698,05:49.6,,,,,
Analyst2,461423,05:52.6,,,,,
Analyst2,409690,05:55.7,,,,,
Analyst2,467307,05:58.7,,,,,
Analyst2,585528,06:01.7,,,,,
Analyst2,517606,06:04.7,,,,,
Analyst2,594605,06:07.7,,,,,
Analyst2,463431,06:10.7,,,,,
Analyst2,596351,06:13.7,,,,,
Analyst2,472871,06:16.8,,,,,
Analyst2,425720,06:19.8,,,,,
Analyst2,442345,06:22.8,,,,,
Analyst2,496996,06:25.8,,,,,
Analyst2,437035,06:28.8,,491538,,,
Analyst2,552865,06:31.8,,,,,
Analyst2,537788,06:34.9,,,,,
Analyst2,450932,06:37.9,,,,,
Analyst2,457249,06:40.9,,,,,
Analyst2,470697,06:43.9,,,,,
Analyst2,434669,06:46.9,,,,,
Analyst2,479326,06:49.9,,,,,474139
Analyst2,435015,06:52.9,,,,,432801
Analyst2,427923,06:55.9,,,,,482271
Analyst2,565314,06:58.9,,,,,491538
Analyst2,521208,07:01.9,,,,,502670
Analyst2,481847,07:05.5,,,,,494003
Analyst2,563151,07:08.6,,,,,450572
Analyst2,505243,07:11.6,,,,,475990
Analyst2,566673,07:14.6,,,,,458415
Analyst2,467451,07:17.6,,,,,515557
Analyst2,828634,07:20.6,,,,,501269
Analyst2,946301,07:23.7,,,,,483451
Analyst2,790363,07:26.7,,,,,523137
Analyst2,756977,07:29.7,,,,,476385
Analyst2,870090,07:32.7,,,,,485221
Analyst2,872800,07:35.7,,,,,
Analyst2,807863,07:38.7,,,,,
Analyst2,643396,07:41.7,,,,,
Analyst2,915656,07:44.7,,,,,
Analyst2,879718,07:47.7,,,,,
Analyst2,701070,07:51.1,,,,,
Analyst2,865698,07:54.1,,,,,
Analyst2,936592,07:57.1,,,,,
Analyst2,692747,08:00.1,,,,,
Analyst2,751783,08:03.2,,,,,
Analyst2,899998,08:06.2,,,,,
Analyst2,820257,08:09.2,,,,,
Analyst2,839871,08:12.2,,,,,
Analyst2,671857,08:15.2,,,,,
Analyst2,977030,08:18.2,,,,,
Analyst2,935276,08:21.2,,,,,
Analyst2,938697,08:24.2,,,,,
Analyst2,964506,08:27.3,,,,,
