analyst,Beta,newtime
Analyst3,419871,05:16.0
Analyst3,568051,05:20.0
Analyst3,588350,05:22.5
Analyst3,315948,05:25.5
Analyst3,427661,05:28.5
Analyst3,389741,05:31.5
Analyst3,376583,05:34.6
Analyst3,327993,05:37.6
Analyst3,404668,05:41.0
Analyst3,427721,05:43.6
Analyst3,516683,05:46.6
Analyst3,465171,05:49.6
Analyst3,502344,05:52.6
Analyst3,353776,05:55.6
Analyst3,340683,05:58.7
Analyst3,508595,06:01.7
Analyst3,556737,06:04.7
Analyst3,477772,06:07.7
Analyst3,342837,06:10.7
Analyst3,513125,06:13.7
Analyst3,440111,06:16.8
Analyst3,456028,06:19.8
Analyst3,401544,06:22.8
Analyst3,469768,06:25.8
Analyst3,423628,06:28.8
Analyst3,449178,06:31.8
Analyst3,561382,06:34.8
Analyst3,591130,06:37.8
Analyst3,439311,06:40.8
Analyst3,346470,06:43.8
Analyst3,435852,06:46.9
Analyst3,490613,06:49.9
Analyst3,579548,06:52.9
Analyst3,395566,06:55.9
Analyst3,403232,06:58.9
Analyst3,423551,07:01.9
Analyst3,536574,07:05.5
Analyst3,465652,07:08.6
Analyst3,358512,07:11.6
Analyst3,530926,07:14.6
Analyst3,575727,07:17.6
Analyst3,448405,07:20.6
Analyst3,502680,07:23.6
Analyst3,747657,07:26.6
Analyst3,959936,07:29.6
Analyst3,910906,07:32.7
Analyst3,959769,07:35.7
Analyst3,982130,07:38.7
Analyst3,792364,07:41.7
Analyst3,825153,07:44.7
Analyst3,860262,07:47.7
Analyst3,785257,07:51.1
Analyst3,971593,07:54.1
Analyst3,896413,07:57.1
Analyst3,800438,08:00.1
Analyst3,955736,08:03.2
Analyst3,904779,08:06.2
Analyst3,715357,08:09.2
Analyst3,973329,08:12.2
Analyst3,877457,08:15.2
Analyst3,859751,08:18.2
Analyst3,979490,08:21.2
Analyst3,742773,08:24.2
Analyst3,714213,08:27.3
Analyst3,806883,08:30.3
Analyst3,792077,08:33.3
Analyst3,744622,08:36.3
Analyst3,884721,08:39.3
Analyst3,848636,08:42.3
Analyst3,750112,08:45.3
Analyst3,806965,08:48.4
Analyst3,985596,08:51.4
Analyst3,904260,08:54.4
Analyst3,993493,08:57.5
Analyst3,705558,09:00.5
Analyst3,857229,09:03.5
Analyst3,826574,09:06.5
Analyst3,818718,09:09.5
Analyst3,702118,09:14.0
Analyst3,881282,09:17.0
Analyst3,963475,09:20.1
Analyst3,995376,09:23.1
Analyst3,998552,09:26.1
Analyst3,723041,09:29.1
Analyst3,808671,09:32.1
Analyst3,848374,09:35.1
Analyst3,897144,09:38.1
Analyst3,804816,09:41.2
Analyst3,917538,09:44.2
Analyst3,719499,09:47.2
Analyst3,954013,09:50.2
Analyst3,894837,09:53.2
Analyst3,851818,09:56.2
Analyst3,966520,09:59.2
Analyst3,902026,10:02.3
Analyst3,795948,10:05.3
Analyst3,997400,10:08.3
Analyst3,771379,10:11.3
Analyst3,731183,10:14.3
Analyst3,901999,10:17.3
Analyst3,813200,10:20.3
Analyst3,835760,10:23.3
Analyst3,761251,10:26.4
Analyst3,875993,10:29.4
Analyst3,800241,10:32.4
Analyst3,811853,10:35.4
Analyst3,977209,10:38.4
Analyst3,932061,10:41.4
Analyst3,816123,10:44.4
Analyst3,805851,10:47.4
Analyst3,735685,10:50.5
Analyst3,872177,10:53.5
Analyst3,979634,10:56.5
Analyst3,726755,10:59.5
Analyst3,866148,11:02.5
Analyst3,855935,11:05.5
Analyst3,928280,11:08.5
Analyst3,848375,11:11.5
Analyst3,922076,11:14.5
Analyst3,878580,11:17.5
Analyst3,713933,11:20.6
Analyst3,738659,11:23.6
Analyst3,966320,11:26.6
Analyst3,889243,11:29.6
Analyst3,962343,11:32.7
Analyst3,754338,11:35.7
Analyst3,956935,11:38.7
Analyst3,725799,11:41.7
Analyst3,867758,11:44.7
Analyst3,853783,11:47.7
Analyst3,732676,11:50.7
Analyst3,852608,11:53.7
Analyst3,775400,11:56.7
Analyst3,710916,11:59.8
Analyst3,965716,12:02.8
Analyst3,879176,12:05.8
Analyst3,771789,12:08.8
Analyst3,886163,12:11.8
Analyst3,807651,12:14.8
Analyst3,876606,12:17.8
Analyst3,814858,12:20.8
Analyst3,859631,12:23.8
Analyst3,424288,33:51.0
Analyst3,566076,33:54.4
Analyst3,510919,33:57.4
Analyst3,586304,34:00.4
Analyst3,597124,34:03.4
Analyst3,599577,34:06.4
Analyst3,340340,34:09.4
Analyst3,533710,34:12.5
Analyst3,486346,34:15.5
Analyst3,510582,34:18.5
Analyst3,519256,34:21.5
Analyst3,358580,34:24.5
Analyst3,374300,34:27.6
Analyst3,445132,34:30.6
Analyst3,302403,34:33.6
Analyst3,581155,34:36.6
Analyst3,534696,34:39.6
Analyst3,319978,34:42.6
Analyst3,491103,34:45.6
Analyst3,582623,34:48.6
Analyst3,511281,34:51.6
Analyst3,588423,34:54.6
Analyst3,340214,34:57.6
Analyst3,426845,35:00.7
Analyst3,508855,35:05.2
Analyst3,517677,35:08.3
Analyst3,300349,35:11.3
Analyst3,522526,35:14.3
Analyst3,412809,35:17.3
Analyst3,441893,35:20.3
Analyst3,426223,35:23.3
Analyst3,383416,35:26.3
Analyst3,594498,35:29.3
Analyst3,549241,35:32.3
Analyst3,304130,35:35.7
Analyst3,440282,35:38.7
Analyst3,432430,35:41.7
Analyst3,552718,35:44.7
Analyst3,306476,35:47.7
Analyst3,354453,35:50.8
Analyst3,421787,35:53.8
Analyst3,391593,35:56.8
Analyst3,355732,35:59.8
Analyst3,741641,36:02.8
Analyst3,785299,36:05.8
Analyst3,870372,36:08.8
Analyst3,823045,36:11.8
Analyst3,955379,36:14.8
Analyst3,706406,36:17.9
Analyst3,880395,36:20.9
Analyst3,850698,36:23.9
Analyst3,842557,36:26.9
Analyst3,759809,36:29.9
Analyst3,759558,36:32.9
Analyst3,810233,36:35.9
Analyst3,907825,36:38.9
Analyst3,912367,36:41.9
Analyst3,795769,36:47.0
Analyst3,944178,36:50.0
Analyst3,767637,36:53.1
Analyst3,849811,36:56.1
Analyst3,898926,36:59.1
Analyst3,999688,37:02.1
Analyst3,744339,37:05.1
Analyst3,883399,37:09.5
Analyst3,999469,37:12.5
Analyst3,839677,37:15.6
Analyst3,750555,37:18.6
Analyst3,951163,37:21.6
Analyst3,767788,37:24.6
Analyst3,780631,37:27.6
Analyst3,864544,37:30.6
Analyst3,743389,37:33.6
Analyst3,767047,37:36.7
Analyst3,961409,37:39.7
Analyst3,735734,37:42.7
Analyst3,826128,37:45.7
Analyst3,821392,37:48.7
Analyst3,985336,37:51.7
Analyst3,835651,37:54.7
Analyst3,912171,37:57.7
Analyst3,833417,38:00.7
Analyst3,750834,38:03.8
Analyst3,841097,38:06.8
Analyst3,822094,38:09.8
Analyst3,702517,38:12.8
Analyst3,946633,38:15.8
Analyst3,716600,38:18.8
Analyst3,876746,38:21.8
Analyst3,786470,38:24.8
Analyst3,757569,38:27.8
Analyst3,871048,38:30.8
Analyst3,953810,38:33.9
Analyst3,859032,38:36.9
Analyst3,902570,38:39.9
Analyst3,859114,38:42.9
Analyst3,745635,38:45.9
Analyst3,744085,38:48.9
Analyst3,837688,38:52.0
Analyst3,950173,38:55.0
Analyst3,822740,38:58.0
Analyst3,842211,39:01.0
Analyst3,754450,39:04.0
Analyst3,714950,39:07.0
Analyst3,817454,39:10.0
Analyst3,862915,39:13.0
Analyst3,767752,39:16.0
Analyst3,918176,39:19.0
Analyst3,846768,39:22.1
Analyst3,775848,39:25.1
Analyst3,904254,39:28.1
Analyst3,955859,39:31.1
Analyst3,770653,39:34.1
Analyst3,775263,39:37.1
Analyst3,721425,39:40.1
Analyst3,928341,39:43.1
Analyst3,997468,39:46.1
Analyst3,926447,39:49.1
Analyst3,804458,39:52.2
Analyst3,904745,39:55.2
Analyst3,729506,39:58.2
Analyst3,966774,40:01.2
Analyst3,906515,40:04.2
Analyst3,725454,40:07.2
Analyst3,925688,40:10.2
Analyst3,944941,40:13.3
Analyst3,739823,40:16.3
Analyst3,896581,40:19.3
Analyst3,917170,40:22.3
Analyst3,865886,40:25.3
Analyst3,874374,40:28.3
Analyst3,993028,40:31.3
Analyst3,871791,40:34.3
Analyst3,954136,40:37.3
Analyst3,768598,40:40.3
Analyst3,958477,40:43.4
Analyst3,868912,40:47.7
Analyst3,748487,40:50.7
Analyst3,749923,40:53.7
Analyst3,978533,40:56.8
Analyst3,702605,40:59.8
Analyst3,884162,41:02.8
Analyst3,962510,41:05.8
Analyst3,998695,41:08.8
Analyst3,960710,41:11.8
Analyst3,733133,41:14.8
Analyst3,854142,41:17.8
Analyst3,947208,41:20.9
Analyst3,989387,41:23.9
Analyst3,541336,49:26.2
Analyst3,333703,49:29.3
Analyst3,372283,49:32.3
Analyst3,433667,49:38.0
Analyst3,383278,49:41.1
Analyst3,352113,49:44.1
Analyst3,551594,49:47.1
Analyst3,520503,49:50.1
Analyst3,523515,49:53.1
Analyst3,532794,49:56.1
Analyst3,434627,49:59.1
Analyst3,492150,50:02.2
Analyst3,597543,50:05.2
Analyst3,595122,50:08.2
Analyst3,427914,50:11.2
Analyst3,465490,50:14.2
Analyst3,518077,50:17.3
Analyst3,361078,50:20.3
Analyst3,369315,50:23.3
Analyst3,554730,50:26.3
Analyst3,551276,50:29.3
Analyst3,361493,50:32.3
Analyst3,300453,50:35.3
Analyst3,393103,50:38.4
Analyst3,301632,50:41.4
Analyst3,505076,50:44.4
Analyst3,593935,50:47.4
Analyst3,585670,50:50.4
Analyst3,326799,50:53.4
Analyst3,311644,50:56.5
Analyst3,523817,50:59.5
Analyst3,418143,51:02.5
Analyst3,373328,51:05.5
Analyst3,541026,51:08.5
Analyst3,519116,51:11.5
Analyst3,448174,51:14.6
Analyst3,504283,51:17.6
Analyst3,562433,51:20.6
Analyst3,484940,51:23.6
Analyst3,369438,51:26.6
Analyst3,324545,51:29.6
Analyst3,574638,51:32.7
Analyst3,529248,51:35.7
Analyst3,850783,51:38.7
Analyst3,889707,51:41.7
Analyst3,776816,51:44.7
Analyst3,794752,51:47.7
Analyst3,903999,51:50.8
Analyst3,958829,51:53.8
Analyst3,806070,51:56.8
Analyst3,958209,51:59.8
Analyst3,914804,52:02.8
Analyst3,842642,52:05.8
Analyst3,885135,52:08.9
Analyst3,765440,52:11.9
Analyst3,704465,52:14.9
Analyst3,932142,52:17.9
Analyst3,784166,52:20.9
Analyst3,956060,52:23.9
Analyst3,790109,52:26.9
Analyst3,858955,52:30.0
Analyst3,852474,52:33.0
Analyst3,966065,52:36.0
Analyst3,921562,52:39.0
Analyst3,906672,52:42.0
Analyst3,846514,52:45.0
Analyst3,900159,52:48.1
Analyst3,918565,52:51.1
Analyst3,824594,52:54.1
Analyst3,859194,52:57.1
Analyst3,901825,53:00.1
Analyst3,760024,53:03.1
Analyst3,762376,53:06.2
Analyst3,918061,53:09.2
Analyst3,807263,53:12.2
Analyst3,741093,53:15.2
Analyst3,880998,53:18.2
Analyst3,914080,53:21.3
Analyst3,757659,53:28.3
Analyst3,981748,53:31.3
Analyst3,894466,53:34.3
Analyst3,990649,53:37.3
Analyst3,934729,53:40.3
Analyst3,867863,53:43.3
Analyst3,751879,53:46.3
Analyst3,775738,53:49.3
Analyst3,884190,53:52.4
Analyst3,745812,53:55.4
Analyst3,967356,53:58.4
Analyst3,804803,54:01.4
Analyst3,858630,54:04.4
Analyst3,818961,54:07.4
Analyst3,740483,54:10.4
Analyst3,970978,54:13.5
Analyst3,745900,54:16.5
Analyst3,759490,54:19.5
Analyst3,790050,54:22.5
Analyst3,888258,54:25.5
Analyst3,840634,54:28.5
Analyst3,783773,54:31.6
Analyst3,701119,54:35.6
Analyst3,919877,54:38.6
Analyst3,976704,54:41.6
Analyst3,823295,54:44.6
Analyst3,960541,54:47.6
Analyst3,841687,54:50.6
Analyst3,808224,54:53.7
Analyst3,810337,54:56.7
Analyst3,712596,54:59.7
Analyst3,936624,55:02.7
Analyst3,835127,55:05.7
Analyst3,806345,55:08.7
Analyst3,791413,55:11.7
Analyst3,858991,55:14.7
Analyst3,866380,55:17.8
Analyst3,910395,55:20.8
Analyst3,957416,55:23.8
Analyst3,719314,55:26.8
Analyst3,948427,55:29.8
Analyst3,995313,55:32.8
Analyst3,777217,55:35.8
Analyst3,974183,55:38.9
Analyst3,822006,55:41.9
Analyst3,767864,55:45.9
Analyst3,894169,55:48.9
Analyst3,903746,55:51.9
Analyst3,738266,55:55.0
Analyst3,770399,55:58.0
Analyst3,892999,56:01.0
Analyst3,705343,56:04.0
Analyst3,994943,56:07.0
Analyst3,944261,56:10.0
Analyst3,825526,56:13.1
Analyst3,862454,56:16.1
Analyst3,831822,56:19.1
Analyst3,984906,56:22.1
Analyst3,886363,56:25.1
Analyst3,984182,56:28.1
Analyst3,925954,56:31.1
Analyst3,772419,56:34.1
