analyst,highBeta,newtime,
Analyst4,438066,17:28.3,
Analyst4,475532,17:31.3,
Analyst4,549827,17:34.8,
Analyst4,406469,17:37.8,
Analyst4,563715,17:40.8,
Analyst4,437618,17:43.8,
Analyst4,588518,17:46.8,
Analyst4,517362,17:49.8,
Analyst4,599475,17:52.9,
Analyst4,509154,17:55.9,
Analyst4,599397,17:58.9,
Analyst4,418017,18:01.9,
Analyst4,557772,18:04.9,
Analyst4,551905,18:07.9,
Analyst4,526716,18:10.9,
Analyst4,433015,18:13.9,
Analyst4,545416,18:16.9,
Analyst4,570391,18:19.9,
Analyst4,498997,18:22.9,
Analyst4,596283,18:25.9,
Analyst4,425304,18:29.0,
Analyst4,469430,18:32.0,
Analyst4,444809,18:35.0,
Analyst4,595174,18:38.0,
Analyst4,561009,18:41.0,
Analyst4,594472,18:44.0,
Analyst4,532625,18:47.0,
Analyst4,433091,18:50.0,
Analyst4,437406,18:53.0,
Analyst4,552074,18:56.0,
Analyst4,558432,18:59.0,
Analyst4,548516,19:02.0,
Analyst4,545178,19:05.0,
Analyst4,462002,19:08.0,514941.7561
Analyst4,583366,19:11.1,
Analyst4,479068,19:14.1,
Analyst4,581097,19:17.1,
Analyst4,439268,19:20.1,
Analyst4,521236,19:23.1,
Analyst4,435095,19:26.1,
Analyst4,530315,19:29.1,
Analyst4,553054,19:32.1,
Analyst4,505188,19:35.1,
Analyst4,591357,19:38.1,
Analyst4,771481,19:41.1,
Analyst4,813206,19:44.1,
Analyst4,940673,19:47.1,
Analyst4,695612,19:50.1,
Analyst4,749072,19:53.2,
Analyst4,755290,19:59.1,
Analyst4,614582,20:02.1,
Analyst4,896101,20:05.1,
Analyst4,640996,20:08.1,
Analyst4,957574,20:11.1,
Analyst4,883852,20:14.1,
Analyst4,840086,20:17.1,
Analyst4,935837,20:20.1,
Analyst4,721458,20:23.1,
Analyst4,668707,20:26.1,
Analyst4,875196,20:29.1,
Analyst4,888177,20:32.1,
Analyst4,708106,20:35.1,
Analyst4,849490,20:38.2,
Analyst4,787764,20:41.2,
Analyst4,662138,20:44.2,
Analyst4,995785,20:47.2,
Analyst4,796998,20:50.2,
Analyst4,781884,20:53.2,
Analyst4,780832,20:56.2,
Analyst4,993716,20:59.2,
Analyst4,803783,21:02.2,
Analyst4,928162,21:05.2,
Analyst4,668799,21:08.2,
Analyst4,656958,21:11.2,
Analyst4,692693,21:14.3,
Analyst4,666209,21:17.3,
Analyst4,920455,21:20.3,
Analyst4,932854,21:23.3,
Analyst4,727477,21:26.3,
Analyst4,710190,21:29.3,
Analyst4,774013,21:32.3,
Analyst4,962223,21:35.3,
Analyst4,833135,21:38.3,
Analyst4,867139,21:41.3,
Analyst4,839576,21:45.0,
Analyst4,949476,21:48.0,
Analyst4,851636,21:51.0,
Analyst4,979465,21:54.0,
Analyst4,667339,21:57.0,
Analyst4,975409,22:00.1,
Analyst4,959616,22:03.1,
Analyst4,646971,22:06.1,
Analyst4,621892,22:09.1,
Analyst4,899114,22:12.1,
Analyst4,724073,22:15.1,
Analyst4,937684,22:18.1,
Analyst4,927094,22:21.1,
Analyst4,866564,22:24.1,
Analyst4,791893,22:27.1,
Analyst4,671242,22:30.1,
Analyst4,850916,22:33.1,
Analyst4,947891,22:36.1,
Analyst4,992183,22:39.1,
Analyst4,747352,22:42.2,
Analyst4,710216,22:45.2,
Analyst4,623969,22:48.2,
Analyst4,766518,22:51.2,
Analyst4,882863,22:54.2,
Analyst4,877328,22:57.2,
Analyst4,837471,23:00.2,
Analyst4,874501,23:03.2,
Analyst4,744435,23:06.2,
Analyst4,902305,23:09.2,
Analyst4,767153,23:12.2,
Analyst4,744194,23:15.2,
Analyst4,700443,23:18.2,
Analyst4,761024,23:21.2,
Analyst4,709950,23:24.2,
Analyst4,825909,23:27.3,
Analyst4,832430,23:30.3,
Analyst4,940491,23:33.3,
Analyst4,727070,23:36.3,
Analyst4,696723,23:39.3,
Analyst4,790478,23:42.3,
Analyst4,868608,23:45.3,
Analyst4,701041,23:48.3,
Analyst4,685218,23:51.3,
Analyst4,875175,23:54.3,
Analyst4,741015,23:57.3,
Analyst4,881790,24:00.3,
Analyst4,755916,24:03.3,
Analyst4,849874,24:06.3,
Analyst4,691552,24:09.3,
Analyst4,893417,24:12.3,
Analyst4,616388,24:15.4,
Analyst4,627495,24:18.4,
Analyst4,742032,24:21.4,
Analyst4,630066,24:24.4,
Analyst4,657836,24:27.4,
Analyst4,722913,24:30.4,
Analyst4,965553,24:33.4,
Analyst4,681932,24:36.4,
Analyst4,978677,24:39.4,
Analyst4,892226,24:42.4,
Analyst4,777414,24:45.4,
Analyst4,695272,24:48.4,
Analyst4,815415,24:51.4,
Analyst4,917953,24:54.5,
Analyst4,422002,39:38.5,
Analyst4,456394,39:41.5,
Analyst4,573446,39:44.5,
Analyst4,589669,39:47.5,
Analyst4,583812,39:50.5,
Analyst4,529665,39:53.6,
Analyst4,574302,39:56.6,
Analyst4,542293,39:59.6,
Analyst4,419405,40:02.6,
Analyst4,463238,40:05.6,
Analyst4,553794,40:08.6,
Analyst4,580638,40:11.6,
Analyst4,403792,40:14.6,
Analyst4,409913,40:17.6,
Analyst4,590936,40:20.6,
Analyst4,443442,40:23.6,
Analyst4,443133,40:26.6,
Analyst4,484370,40:29.6,
Analyst4,401953,40:32.6,
Analyst4,562458,40:35.7,
Analyst4,423481,40:38.7,
Analyst4,569262,40:41.7,
Analyst4,587962,40:44.7,
Analyst4,457910,40:47.7,
Analyst4,439085,40:50.7,
Analyst4,579286,40:53.7,
Analyst4,403819,40:56.7,
Analyst4,466780,40:59.7,
Analyst4,547039,41:02.7,
Analyst4,420010,41:05.8,
Analyst4,452623,41:08.8,
Analyst4,468408,41:11.8,
Analyst4,551406,41:14.8,
Analyst4,533109,41:17.8,
Analyst4,495997,41:20.8,
Analyst4,506636,41:23.8,
Analyst4,567023,41:26.8,
Analyst4,592575,41:29.8,
Analyst4,475141,41:32.8,
Analyst4,484564,41:35.8,
Analyst4,550107,41:38.8,
Analyst4,551464,41:41.8,
Analyst4,588917,41:44.9,
Analyst4,507391,41:47.9,
Analyst4,938744,41:50.9,
Analyst4,791684,41:53.9,
Analyst4,913086,41:56.9,
Analyst4,855434,41:59.9,
Analyst4,995058,42:02.9,
Analyst4,977256,42:05.9,
Analyst4,706492,42:08.9,
Analyst4,892533,42:11.9,
Analyst4,930480,42:14.9,
Analyst4,873690,42:17.9,
Analyst4,937739,42:20.9,
Analyst4,954181,42:23.9,
Analyst4,995463,42:27.0,
Analyst4,927959,42:30.0,
Analyst4,688557,42:33.0,
Analyst4,902091,42:36.0,
Analyst4,679907,42:39.0,
Analyst4,922751,42:42.0,
Analyst4,910774,42:45.0,
Analyst4,770223,42:48.0,
Analyst4,703065,42:51.0,
Analyst4,678116,42:54.0,
Analyst4,731815,42:57.0,
Analyst4,638591,43:00.0,
Analyst4,806031,43:03.0,
Analyst4,960840,43:06.0,
Analyst4,865148,43:09.0,
Analyst4,950276,43:12.0,
Analyst4,683213,43:15.1,
Analyst4,753293,43:18.1,
Analyst4,941817,43:21.1,
Analyst4,717388,43:24.1,
Analyst4,981066,43:27.1,
Analyst4,671057,43:30.1,
Analyst4,693390,43:33.1,
Analyst4,726447,43:36.1,
Analyst4,803123,43:39.1,
Analyst4,838118,43:42.1,
Analyst4,805181,43:45.1,
Analyst4,904356,43:48.1,
Analyst4,960518,43:51.1,
Analyst4,663185,43:54.1,
Analyst4,733650,43:57.2,
Analyst4,782026,44:00.2,
Analyst4,981636,44:03.2,
Analyst4,616518,44:06.2,
Analyst4,657507,44:09.2,
Analyst4,943809,44:12.2,
Analyst4,965291,44:15.2,
Analyst4,890569,44:18.2,
Analyst4,950784,44:21.2,
Analyst4,944897,44:24.2,
Analyst4,971570,44:27.2,
Analyst4,914212,44:30.2,
Analyst4,723959,44:33.2,
Analyst4,715291,44:36.2,
Analyst4,819459,44:39.3,
Analyst4,927430,44:42.3,
Analyst4,671046,44:45.3,
Analyst4,819877,44:48.3,
Analyst4,907445,44:51.3,
Analyst4,659250,44:54.3,
Analyst4,786404,44:57.3,
Analyst4,954608,45:00.5,
Analyst4,733386,45:03.6,
Analyst4,733880,45:06.6,
Analyst4,874476,45:09.6,
Analyst4,843805,45:12.6,
Analyst4,690345,45:15.6,
Analyst4,799632,45:18.6,
Analyst4,988747,45:21.6,
Analyst4,879045,45:24.6,
Analyst4,846437,45:27.6,
Analyst4,914581,45:30.6,
Analyst4,639324,45:33.6,
Analyst4,874897,45:36.6,
Analyst4,698209,45:39.6,
Analyst4,758273,45:42.6,
Analyst4,923300,45:45.6,
Analyst4,994196,45:48.7,
Analyst4,819261,45:51.7,
Analyst4,761817,45:54.7,
Analyst4,873498,45:57.7,
Analyst4,815815,46:00.7,
Analyst4,647160,46:03.7,
Analyst4,745834,46:06.7,
Analyst4,769444,46:09.7,
Analyst4,989515,46:12.7,
Analyst4,731169,46:15.7,
Analyst4,877192,46:18.7,
Analyst4,990348,46:21.7,
Analyst4,649197,46:24.7,
Analyst4,612915,46:27.7,
Analyst4,643350,46:30.8,
Analyst4,418364,51:46.6,
Analyst4,476930,51:49.6,
Analyst4,556244,51:52.6,
Analyst4,432354,51:55.6,
Analyst4,414069,51:58.6,
Analyst4,499387,52:01.6,
Analyst4,542105,52:04.6,
Analyst4,536423,52:07.6,
Analyst4,545845,52:10.6,
Analyst4,463238,52:13.6,
Analyst4,476858,52:16.6,
Analyst4,468045,52:19.6,
Analyst4,553001,52:23.7,
Analyst4,539115,52:26.7,
Analyst4,559923,52:29.7,
Analyst4,534338,52:32.7,
Analyst4,589451,52:35.7,
Analyst4,429982,52:38.7,
Analyst4,588014,52:41.7,
Analyst4,427978,52:44.7,
Analyst4,413772,52:47.7,
Analyst4,433889,52:50.7,
Analyst4,407500,52:58.8,
Analyst4,406347,53:01.8,
Analyst4,406070,53:04.8,
Analyst4,534308,53:07.8,
